PID,Company Name,Order No,Item No,Customer No,Invoice No,Order Date,Invoice Date,Delivery Date,Rep ID,Sales,Cost,Margin,Quantity,Item Desc,PaymentMethod
48434,Lagozon Edutech Pvt Ltd,100064,10849,10017036,300060,06/01/18,06/03/18,06/06/18,117,1074,179,130,6,Nationeel Graham Crackers,3
48438,Lagozon Edutech Pvt Ltd,100067,10338,10017036,300065,06/02/18,06/04/18,06/07/18,117,66263,2209,369,30,Better Beef Soup,3
48435,Lagozon Edutech Pvt Ltd,100071,10632,10019194,300069,06/02/18,06/04/18,06/07/18,108,1368,684,479,2,Token Apple Juice,6
48439,Lagozon Edutech Pvt Ltd,100075,10347,10012226,300073,06/02/18,06/04/18,06/07/18,180,1784,892,612,2,Better Fancy Canned Sardines,10
84656,Lagozon Edutech Pvt Ltd,100091,10067,10004245,300431,10/05/18,10/07/18,06/22/2019,180,1276,638,517,2,Red Spade Turkey Hot Dogs,2
66460,Lagozon Edutech Pvt Ltd,100093,10310,10022444,300228,07/30/2018,08/01/18,06/22/2019,173,10846,775,409,14,Super Apple Preserves,10
58700,Lagozon Edutech Pvt Ltd,100102,10197,10003882,300153,07/06/18,07/08/18,06/24/2019,176,73076,2030,899,36,High Top Golden Delcious Apples,8
58701,Lagozon Edutech Pvt Ltd,100118,10994,10020515,300106,06/30/2018,07/02/18,07/05/18,143,2153,1077,312,2,Even Better 2% Milk,10
58702,Lagozon Edutech Pvt Ltd,100120,10347,10021160,300108,06/30/2018,07/02/18,07/05/18,160,1784,892,643,2,Better Fancy Canned Sardines,4
58818,Lagozon Edutech Pvt Ltd,100122,10385,10016113,300110,06/30/2018,07/02/18,07/05/18,162,116,58,50,2,Moms Sliced Ham,10
58817,Lagozon Edutech Pvt Ltd,100132,10878,10015793,300120,07/01/18,07/03/18,07/06/18,182,127,64,65,2,Thresher Semi-Sweet Chocolate Bar,8
58816,Lagozon Edutech Pvt Ltd,100135,10492,10020266,300123,07/01/18,07/03/18,07/06/18,114,306,153,107,2,Tell Tale Lettuce,3
59834,Lagozon Edutech Pvt Ltd,100137,10363,10019194,300125,07/01/18,07/03/18,07/06/18,108,1861,931,128,2,Carlson Cheese Spread,8
59836,Lagozon Edutech Pvt Ltd,100141,10068,10019194,300136,07/03/18,07/05/18,07/15/2018,108,1889,944,606,2,Red Spade Foot-Long Hot Dogs,8
59837,Lagozon Edutech Pvt Ltd,100152,10880,10020914,300141,07/03/18,07/05/18,07/08/18,182,2626,656,433,4,Thresher Spicy Mints,4
59839,Lagozon Edutech Pvt Ltd,100153,10266,10019194,300142,07/03/18,07/05/18,07/08/18,108,524,262,76,2,Good Imported Beer,7
59840,Lagozon Edutech Pvt Ltd,100155,10550,10000453,300144,07/03/18,07/05/18,07/08/18,125,299,150,21,2,Fast Chocolate Donuts,7
59832,Lagozon Edutech Pvt Ltd,100156,10707,10005376,300145,07/03/18,07/05/18,07/08/18,109,2,1,2,2,Imagine Frozen Pancakes,9
59833,Lagozon Edutech Pvt Ltd,100164,10068,10016549,300152,07/03/18,07/05/18,07/08/18,121,92558,6611,5360,14,Red Spade Foot-Long Hot Dogs,2
62571,Lagozon Edutech Pvt Ltd,100172,10366,10007591,300164,07/13/2018,07/15/2018,07/18/2018,109,1136,21,29,54,Carlson Large Curd Cottage Cheese,4
62533,Lagozon Edutech Pvt Ltd,100173,11021,10001786,300165,07/13/2018,07/15/2018,07/18/2018,118,191,95,88,2,American Beef Bologna,10
62552,Lagozon Edutech Pvt Ltd,100179,10633,10000453,300169,07/13/2018,07/15/2018,07/16/2018,125,367,183,188,2,Token Apple Drink,10
62537,Lagozon Edutech Pvt Ltd,100180,10813,10005376,300170,07/13/2018,07/15/2018,07/16/2018,109,224,112,40,2,Ebony Fresh Lima Beans,9
62512,Lagozon Edutech Pvt Ltd,100181,10671,10007577,300171,07/13/2018,07/15/2018,07/16/2018,175,432,216,97,2,Gorilla Low Fat String Cheese,4
62515,Lagozon Edutech Pvt Ltd,100182,10347,10012226,300172,07/13/2018,07/15/2018,07/16/2018,180,1784,892,612,2,Better Fancy Canned Sardines,2
62517,Lagozon Edutech Pvt Ltd,100183,10069,10012226,300173,07/13/2018,07/15/2018,07/18/2018,180,1285,642,550,2,Red Spade Low Fat Cole Slaw,8
62543,Lagozon Edutech Pvt Ltd,100184,10266,10021986,300174,07/13/2018,07/15/2018,07/18/2018,183,2098,524,173,4,Good Imported Beer,5
62511,Lagozon Edutech Pvt Ltd,100185,10490,10023793,300175,07/13/2018,07/15/2018,07/18/2018,115,222,111,114,2,Tell Tale Green Pepper,8
62513,Lagozon Edutech Pvt Ltd,100187,10569,10012226,300176,07/13/2018,07/15/2018,07/18/2018,180,23065,1922,128,12,Atomic Spicy Mints,1
63283,Lagozon Edutech Pvt Ltd,100191,10403,10007564,300181,07/16/2018,07/18/2018,07/20/2018,166,339,170,22,2,Big Time Frozen Cheese Pizza,4
64557,Lagozon Edutech Pvt Ltd,100196,10347,10015793,300186,07/16/2018,07/18/2018,07/20/2018,182,1784,892,588,2,Better Fancy Canned Sardines,9
64552,Lagozon Edutech Pvt Ltd,100212,10092,10001786,300202,07/20/2018,07/22/2018,07/25/2018,118,73,36,104,2,Golden Frozen Cheese Pizza,8
64551,Lagozon Edutech Pvt Ltd,100213,10068,10020515,300203,07/20/2018,07/22/2018,07/25/2018,143,1903,952,759,2,Red Spade Foot-Long Hot Dogs,8
64554,Lagozon Edutech Pvt Ltd,100215,10681,10027340,300205,07/20/2018,07/22/2018,07/25/2018,184,23128,2891,2327,8,Gorilla 1% Milk,9
64553,Lagozon Edutech Pvt Ltd,100218,10697,10020684,300208,07/20/2018,07/22/2018,07/25/2018,144,444,222,94,2,Cutting Edge Potato Salad,10
64555,Lagozon Edutech Pvt Ltd,100222,10026,10020515,300212,07/20/2018,07/22/2018,07/25/2018,143,549,275,318,2,Blue Label Turkey Noodle Soup,3
64987,Lagozon Edutech Pvt Ltd,100224,10696,10012226,300214,07/21/2018,07/23/2018,07/26/2018,180,2053,1026,75,2,Cutting Edge Sliced Ham,5
66297,Lagozon Edutech Pvt Ltd,100225,10642,10024262,300215,07/22/2018,07/24/2018,07/27/2018,161,957,239,194,4,Bravo Canned Yams,5
66298,Lagozon Edutech Pvt Ltd,100235,10383,10011052,300224,07/28/2018,07/30/2018,08/01/18,157,289,144,106,2,Moms Corned Beef,6
66296,Lagozon Edutech Pvt Ltd,100236,10346,10007457,300225,07/28/2018,07/30/2018,08/01/18,130,85,43,20,2,Better Fancy Canned Oysters,4
81145,Lagozon Edutech Pvt Ltd,100238,10384,10015793,300227,07/28/2018,07/30/2018,08/01/18,182,4176,1044,662,4,Moms Sliced Turkey,9
81146,Lagozon Edutech Pvt Ltd,100240,10504,10004245,300398,09/23/2018,09/25/2018,01/14/2020,180,179,90,35,2,Tell Tale Limes,1
67954,Lagozon Edutech Pvt Ltd,100259,10361,10024924,300243,08/04/18,08/06/18,08/09/18,111,15687,2615,52,6,Carlson Havarti Cheese,6
68159,Lagozon Edutech Pvt Ltd,100260,10354,10020515,300244,08/04/18,08/06/18,08/09/18,143,40,20,37,2,Carlson Low Fat Cottage Cheese,1
68160,Lagozon Edutech Pvt Ltd,100264,10026,10012226,300249,08/06/18,08/08/18,08/11/18,180,549,275,318,2,Blue Label Turkey Noodle Soup,3
68158,Lagozon Edutech Pvt Ltd,100265,10679,10000601,300250,08/06/18,08/08/18,08/11/18,134,55,27,76,2,Gorilla Buttermilk,9
72075,Lagozon Edutech Pvt Ltd,100266,10366,10024924,300251,08/06/18,08/08/18,08/11/18,111,1921,960,71,2,Carlson Large Curd Cottage Cheese,5
72077,Lagozon Edutech Pvt Ltd,100273,10357,10016549,300306,08/20/2018,08/22/2018,08/25/2019,121,15612,2602,195,6,Carlson Jack Cheese,9
74163,Lagozon Edutech Pvt Ltd,100274,10235,10023511,300324,08/27/2018,08/29/2018,09/02/19,136,58488,1393,950,42,Best Choice Cheese Dip,4
73827,Lagozon Edutech Pvt Ltd,100275,10589,10023757,300323,08/25/2018,08/27/2018,01/23/2019,120,18650,1865,563,10,Colony Cranberry Muffins,7
72106,Lagozon Edutech Pvt Ltd,100277,10973,10026532,300307,08/20/2018,08/22/2018,08/25/2019,167,970,242,246,4,Just Right Fancy Canned Oysters,6
72082,Lagozon Edutech Pvt Ltd,100278,10171,10025549,300308,08/20/2018,08/22/2018,08/25/2019,139,3316,829,209,4,High Top Summer Squash,2
72079,Lagozon Edutech Pvt Ltd,100279,10567,10021668,300309,08/20/2018,08/22/2018,08/25/2019,117,29020,1814,919,16,Atomic Semi-Sweet Chocolate Bar,2
73370,Lagozon Edutech Pvt Ltd,100280,10413,10018885,300322,08/24/2018,08/26/2018,08/12/18,107,14850,1061,751,14,Big Time Lime Popsicles,5
72095,Lagozon Edutech Pvt Ltd,100281,10413,10014469,300310,08/20/2018,08/22/2018,08/25/2019,145,19396,1212,858,16,Big Time Lime Popsicles,3
69485,Lagozon Edutech Pvt Ltd,100285,10731,10022444,300259,08/10/18,08/12/18,08/15/2018,173,1211,605,474,2,Imagine Popsicles,9
69927,Lagozon Edutech Pvt Ltd,100288,10329,10015793,300262,08/10/18,08/12/18,08/15/2018,182,14,7,16,2,Better Canned String Beans,8
69926,Lagozon Edutech Pvt Ltd,100297,10405,10015793,300272,08/12/18,08/14/2018,08/17/2018,182,23,12,28,2,Big Time Apple Cinnamon Waffles,10
69925,Lagozon Edutech Pvt Ltd,100299,10068,10011997,300274,08/12/18,08/14/2018,08/17/2018,160,1903,952,795,2,Red Spade Foot-Long Hot Dogs,5
70061,Lagozon Edutech Pvt Ltd,100302,10799,10025237,300276,08/12/18,08/14/2018,08/17/2018,118,42042,1401,2762,30,Ebony Prepared Salad,1
70054,Lagozon Edutech Pvt Ltd,100305,10995,10020515,300280,08/13/2018,08/15/2018,08/17/2018,143,32,16,2,2,Even Better Buttermilk,5
70055,Lagozon Edutech Pvt Ltd,100309,10283,10022444,300284,08/13/2018,08/15/2018,08/18/2018,173,1008,252,62,4,Super Sesame Oil,2
70053,Lagozon Edutech Pvt Ltd,100313,10345,10005376,300288,08/13/2018,08/15/2018,08/18/2018,109,52,26,14,2,Better Fancy Canned Clams,8
74512,Lagozon Edutech Pvt Ltd,100315,10491,10007591,300290,08/13/2018,08/15/2018,08/18/2018,109,3026,504,411,6,Tell Tale Shitake Mushrooms,5
74513,Lagozon Edutech Pvt Ltd,100316,10827,10022456,300325,08/28/2018,08/30/2018,09/03/19,104,64308,1072,610,60,Ebony Mixed Nuts,7
75152,Lagozon Edutech Pvt Ltd,100318,10222,10015793,300293,08/18/2018,08/20/2018,08/22/2018,182,1341,671,382,2,Best Choice Chocolate Chip Cookies,2
75153,Lagozon Edutech Pvt Ltd,100320,10343,10021472,300333,08/31/2018,09/02/18,09/06/19,154,210,105,285,2,Better Large Canned Shrimp,3
71593,Lagozon Edutech Pvt Ltd,100323,10417,10012226,300297,08/18/2018,08/20/2018,08/22/2018,180,284,142,83,2,Big Time Frozen Broccoli,2
71589,Lagozon Edutech Pvt Ltd,100324,10842,10013572,300298,08/18/2018,08/20/2018,08/22/2018,181,182,91,54,2,Nationeel Low Fat BBQ Chips,4
71591,Lagozon Edutech Pvt Ltd,100325,10799,10007123,300299,08/18/2018,08/20/2018,08/22/2018,129,538946,12249,8661,44,Ebony Prepared Salad,2
74531,Lagozon Edutech Pvt Ltd,100353,10965,10010886,300327,08/28/2018,08/30/2018,09/02/18,158,152,76,131,2,Just Right Beef Soup,10
74536,Lagozon Edutech Pvt Ltd,100354,10670,10007457,300328,08/28/2018,08/30/2018,09/02/18,130,193,97,31,2,Gorilla String Cheese,7
74516,Lagozon Edutech Pvt Ltd,100356,10713,10022450,300330,08/28/2018,08/30/2018,09/02/18,167,59,29,14,2,Imagine Frozen Pepperoni Pizza,5
75154,Lagozon Edutech Pvt Ltd,100357,10900,10012885,300331,08/28/2018,08/30/2018,09/02/18,107,2122,265,243,8,Pearl Light Beer,1
75670,Lagozon Edutech Pvt Ltd,100363,10522,10012226,300338,08/31/2018,09/02/18,09/05/18,180,226,56,53,4,Tell Tale Walnuts,6
75669,Lagozon Edutech Pvt Ltd,100367,10110,10022444,300342,09/02/18,09/04/18,09/07/18,173,1280,640,473,2,Golden Frozen Chicken Thighs,1
75671,Lagozon Edutech Pvt Ltd,100370,10690,10005919,300345,09/02/18,09/04/18,09/07/18,117,16650,1388,1512,12,Cutting Edge Foot-Long Hot Dogs,7
78669,Lagozon Edutech Pvt Ltd,100379,10565,10019194,300370,09/07/18,09/09/18,09/08/18,108,1377,689,629,2,Atomic Mint Chocolate Bar,5
78670,Lagozon Edutech Pvt Ltd,100388,10347,10016334,300380,09/14/2018,09/16/2018,01/14/2020,154,1799,899,652,2,Better Fancy Canned Sardines,1
76193,Lagozon Edutech Pvt Ltd,100390,10053,10025758,300364,09/04/18,09/06/18,09/09/18,142,1690727,18786,6899,90,Club Sharp Cheddar Cheese,6
76194,Lagozon Edutech Pvt Ltd,100393,10632,10016549,300367,09/04/18,09/06/18,09/09/18,121,1173,586,576,2,Token Apple Juice,8
77182,Lagozon Edutech Pvt Ltd,100395,10095,10017314,300369,09/04/18,09/06/18,09/09/18,116,91,45,42,2,Golden Frozen Carrots,10
86048,Lagozon Edutech Pvt Ltd,100399,10847,10020393,300373,09/07/18,09/09/18,09/12/18,175,30,15,26,2,Nationeel Potato Chips,1
86056,Lagozon Edutech Pvt Ltd,100402,10495,10007564,300467,10/09/18,10/11/18,01/13/2020,166,8975,1496,3,6,Tell Tale Garlic,8
80970,Lagozon Edutech Pvt Ltd,100413,10561,10016334,300383,09/16/2018,09/18/2018,09/21/2018,154,2599,325,57,8,Fast Golden Raisins,4
80971,Lagozon Edutech Pvt Ltd,100417,10670,10022450,300393,09/22/2018,09/24/2018,09/28/2019,167,9515,951,397,10,Gorilla String Cheese,8
82506,Lagozon Edutech Pvt Ltd,100425,10419,10021139,300419,09/28/2018,09/30/2018,10/04/19,112,20,5,269,4,Big Time Frozen Peas,5
92697,Lagozon Edutech Pvt Ltd,100426,10254,10012226,300573,11/03/18,11/05/18,11/09/19,180,5607,561,576,10,Choice Mint Chocolate Bar,3
85113,Lagozon Edutech Pvt Ltd,100428,10610,10019194,300394,09/22/2018,09/24/2018,09/27/2018,108,645,322,82,2,Landslide Low Fat Apple Butter,2
85114,Lagozon Edutech Pvt Ltd,100433,10868,10012425,300437,10/06/18,10/08/18,01/14/2020,108,1471,368,273,4,Nationeel Raspberry Fruit Roll,9
81143,Lagozon Edutech Pvt Ltd,100442,10657,10019617,300409,09/23/2018,09/25/2018,09/28/2018,170,166,83,112,2,Bravo Fancy Canned Oysters,5
82503,Lagozon Edutech Pvt Ltd,100446,10841,10009606,300411,09/23/2018,09/25/2018,09/28/2018,103,148907,9307,8291,16,Nationeel Corn Chips,6
82504,Lagozon Edutech Pvt Ltd,100451,10377,10019812,300420,09/28/2018,09/30/2018,10/03/18,113,405,203,36,2,Moms Low Fat Bologna,8
82501,Lagozon Edutech Pvt Ltd,100455,10565,10016549,300424,09/28/2018,09/30/2018,10/03/18,121,1377,689,629,2,Atomic Mint Chocolate Bar,2
84654,Lagozon Edutech Pvt Ltd,100456,10988,10026055,300425,09/28/2018,09/30/2018,10/03/18,145,5,1,4,4,Even Better Havarti Cheese,6
84658,Lagozon Edutech Pvt Ltd,100472,10632,10012226,300436,10/05/18,10/07/18,10/10/18,180,4691,1173,1153,4,Token Apple Juice,10
85121,Lagozon Edutech Pvt Ltd,100479,10051,10026336,300446,10/06/18,10/08/18,10/11/18,158,0,0,524,4,Club Head Cheese,2
86054,Lagozon Edutech Pvt Ltd,100501,10972,10019194,300468,10/09/18,10/11/18,10/14/2018,108,133,67,45,2,Just Right Fancy Canned Clams,10
86063,Lagozon Edutech Pvt Ltd,100504,10171,10017585,300471,10/09/18,10/11/18,10/14/2018,134,829,414,110,2,High Top Summer Squash,9
86050,Lagozon Edutech Pvt Ltd,100505,10557,10009863,300472,10/09/18,10/11/18,10/14/2018,153,70,18,98,4,Fast Raspberry Fruit Roll,6
86055,Lagozon Edutech Pvt Ltd,100506,10588,10012226,300473,10/09/18,10/11/18,10/14/2018,180,1216,304,568,4,Colony English Muffins,6
86705,Lagozon Edutech Pvt Ltd,100509,10991,10022252,300477,10/12/18,10/14/2018,10/14/2018,175,1800,900,343,2,Even Better Sharp Cheddar Cheese,2
88744,Lagozon Edutech Pvt Ltd,100511,10024,10012226,300508,10/19/2018,10/21/2018,10/25/2019,180,2691,449,326,6,Blue Label Regular Ramen Soup,2
87214,Lagozon Edutech Pvt Ltd,100513,10347,10020515,300490,10/14/2018,10/16/2018,10/17/2018,143,1799,899,604,2,Better Fancy Canned Sardines,4
87213,Lagozon Edutech Pvt Ltd,100528,10612,10009863,300494,10/14/2018,10/16/2018,10/19/2018,153,26,13,39,2,Landslide Apple Butter,6
87212,Lagozon Edutech Pvt Ltd,100530,10981,10023793,300496,10/14/2018,10/16/2018,10/19/2018,115,189,95,80,2,Even Better Low Fat Cottage Cheese,10
87450,Lagozon Edutech Pvt Ltd,100531,10731,10017314,300497,10/14/2018,10/16/2018,10/19/2018,116,1186,593,582,2,Imagine Popsicles,5
87451,Lagozon Edutech Pvt Ltd,100535,10347,10016549,300501,10/15/2018,10/17/2018,10/20/2018,121,88140,6296,4230,14,Better Fancy Canned Sardines,5
88742,Lagozon Edutech Pvt Ltd,100536,10546,10025778,300502,10/15/2018,10/17/2018,10/20/2018,103,499,62,119,8,Fast Cheese Dip,7
89198,Lagozon Edutech Pvt Ltd,100545,10654,10023023,300512,10/19/2018,10/21/2018,10/24/2018,141,1068,534,484,2,Bravo Large Canned Shrimp,5
92695,Lagozon Edutech Pvt Ltd,100547,10589,10020515,300514,10/20/2018,10/22/2018,10/24/2018,143,148,74,55,2,Colony Cranberry Muffins,1
92704,Lagozon Edutech Pvt Ltd,100548,10588,10012226,300574,11/03/18,11/05/18,11/08/18,180,2735,456,852,6,Colony English Muffins,4
89284,Lagozon Edutech Pvt Ltd,100556,10011,10013080,300522,10/21/2018,10/23/2018,10/26/2018,180,35309,3531,4319,10,Washington Apple Drink,3
89648,Lagozon Edutech Pvt Ltd,100557,10868,10009863,300523,10/21/2018,10/23/2018,10/26/2018,153,165,83,103,2,Nationeel Raspberry Fruit Roll,1
91308,Lagozon Edutech Pvt Ltd,100566,10334,10015793,300533,10/23/2018,10/25/2018,10/28/2018,182,50,25,31,2,Better Noodle Soup,8
91309,Lagozon Edutech Pvt Ltd,100573,10551,10009676,300534,10/29/2018,10/31/2018,11/03/18,141,366,183,173,2,Fast Low Fat Chips,10
91307,Lagozon Edutech Pvt Ltd,100576,10987,10019909,300536,10/29/2018,10/31/2018,11/03/18,157,30,8,17,4,Even Better Low Fat String Cheese,5
91306,Lagozon Edutech Pvt Ltd,100577,10178,10012927,300537,10/29/2018,10/31/2018,11/03/18,149,2525,316,339,8,High Top Onions,7
91405,Lagozon Edutech Pvt Ltd,100579,10187,10025252,300539,10/29/2018,10/31/2018,11/03/18,179,6129,306,540,20,High Top Tomatos,3
92407,Lagozon Edutech Pvt Ltd,100580,10190,10023524,300540,10/29/2018,10/31/2018,11/03/18,103,134,67,135,2,High Top Dried Mushrooms,6
92408,Lagozon Edutech Pvt Ltd,100610,10385,10025771,300569,11/02/18,11/04/18,11/07/18,141,1057,176,159,6,Moms Sliced Ham,1
92720,Lagozon Edutech Pvt Ltd,100611,10329,10015793,300570,11/02/18,11/04/18,11/07/18,182,14,7,16,2,Better Canned String Beans,1
92735,Lagozon Edutech Pvt Ltd,100614,10716,10005376,300575,11/03/18,11/05/18,11/08/18,109,178,89,87,2,Imagine Apple Cinnamon Waffles,9
92944,Lagozon Edutech Pvt Ltd,100616,10692,10025392,300576,11/03/18,11/05/18,11/08/18,149,893832,5959,5305,150,Cutting Edge Cole Slaw,5
92719,Lagozon Edutech Pvt Ltd,100617,10799,10019194,300580,11/04/18,11/06/18,11/08/18,108,4356,1089,942,4,Ebony Prepared Salad,10
92945,Lagozon Edutech Pvt Ltd,100619,10198,10019514,300578,11/03/18,11/05/18,11/08/18,151,164,82,102,2,High Top Red Delcious Apples,10
93126,Lagozon Edutech Pvt Ltd,100625,10492,10024743,300585,11/04/18,11/06/18,11/09/18,113,301,151,110,2,Tell Tale Lettuce,3
93125,Lagozon Edutech Pvt Ltd,100627,10005,10004245,300588,11/05/18,11/07/18,11/10/18,180,165,83,80,2,Washington Diet Soda,6
95533,Lagozon Edutech Pvt Ltd,100629,10173,10023524,300590,11/05/18,11/07/18,11/10/18,103,499,249,115,2,High Top Asparagus,6
95534,Lagozon Edutech Pvt Ltd,100649,10253,10013574,300608,11/13/2018,11/15/2018,11/18/2018,145,166,83,95,2,Choice Tasty Candy Bar,8
96665,Lagozon Edutech Pvt Ltd,100654,10670,10021158,300614,11/16/2018,11/18/2018,11/21/2018,143,381,190,79,2,Gorilla String Cheese,5
96664,Lagozon Edutech Pvt Ltd,100665,10986,10007591,300625,11/17/2018,11/19/2018,11/22/2018,109,28,14,3,2,Even Better String Cheese,4
96844,Lagozon Edutech Pvt Ltd,100666,10611,10002144,300626,11/17/2018,11/19/2018,11/22/2018,113,590,295,56,2,Landslide Salt,4
96846,Lagozon Edutech Pvt Ltd,100671,10339,10021239,300630,11/18/2018,11/20/2018,11/23/2018,112,22909,1041,875,22,Better Canned Peas,4
96845,Lagozon Edutech Pvt Ltd,100676,10315,10010906,300634,11/18/2018,11/20/2018,11/23/2018,115,21,5,17,4,Excellent Cream Soda,5
96984,Lagozon Edutech Pvt Ltd,100682,10965,10023244,300639,11/18/2018,11/20/2018,11/23/2018,124,262,131,140,2,Just Right Beef Soup,9
96986,Lagozon Edutech Pvt Ltd,100684,10731,10022444,300641,11/19/2018,11/21/2018,11/24/2018,173,1186,593,486,2,Imagine Popsicles,8
96983,Lagozon Edutech Pvt Ltd,100685,10569,10016113,300642,11/19/2018,11/21/2018,11/24/2018,162,656,328,21,2,Atomic Spicy Mints,6
96985,Lagozon Edutech Pvt Ltd,100687,10911,10013080,300643,11/19/2018,11/21/2018,11/24/2018,180,14095,1175,1741,12,BBB Best Chunky Peanut Butter,2
96988,Lagozon Edutech Pvt Ltd,100690,10347,10016549,300646,11/19/2018,11/21/2018,11/24/2018,121,44969,4497,3022,10,Better Fancy Canned Sardines,7
98096,Lagozon Edutech Pvt Ltd,100694,10545,10009863,300650,11/19/2018,11/21/2018,11/24/2018,153,176,88,50,2,Fast Salted Pretzels,4
98097,Lagozon Edutech Pvt Ltd,100702,10705,10000453,300658,11/23/2018,11/25/2018,11/28/2018,125,841,210,80,4,Imagine Orange Popsicles,1
99215,Lagozon Edutech Pvt Ltd,100703,10506,10011870,300659,11/23/2018,11/25/2018,11/28/2018,120,214,36,43,6,Tell Tale Almonds,6
102212,Lagozon Edutech Pvt Ltd,100712,10361,10021283,300666,11/27/2018,11/29/2018,12/02/18,168,1452,726,200,2,Carlson Havarti Cheese,7
102214,Lagozon Edutech Pvt Ltd,100747,10987,10024541,300697,12/08/18,12/10/18,12/13/2018,166,1083,45,106,24,Even Better Low Fat String Cheese,10
102206,Lagozon Edutech Pvt Ltd,100748,10281,10025878,300698,12/08/18,12/10/18,12/13/2018,180,48,24,89,2,Great Blueberry Muffins,9
71835,Lagozon Edutech Pvt Ltd,100749,11101,10023524,300699,12/08/18,12/10/18,12/13/2018,103,316,158,207,2,American Low Fat Cole Slaw,6
78772,Lagozon Edutech Pvt Ltd,100838,10626,10017036,308703,08/18/2018,08/20/2018,08/22/2018,117,4144,345,165,12,Token Cream Soda,8
79513,Lagozon Edutech Pvt Ltd,100841,10626,10017036,311188,09/14/2018,09/16/2018,09/19/2018,117,1036,173,83,6,Token Cream Soda,2
46224,Lagozon Edutech Pvt Ltd,100842,10626,10017036,311585,09/17/2018,09/19/2018,09/22/2018,117,460,115,55,4,Token Cream Soda,6
61103,Lagozon Edutech Pvt Ltd,100880,10300,10009676,301425,05/27/2018,05/29/2018,06/01/18,141,1159406,11594,12252,100,Super Salt,5
53569,Lagozon Edutech Pvt Ltd,100881,10404,10015495,305106,07/06/18,07/08/18,07/11/18,145,31208,390,277,80,Big Time Frozen Mushroom Pizza,7
88072,Lagozon Edutech Pvt Ltd,100882,10066,10002969,303217,06/16/2018,06/18/2018,06/21/2018,175,112300,5615,2706,20,Red Spade Low Fat Bologna,4
78834,Lagozon Edutech Pvt Ltd,100884,10796,10002969,314159,10/16/2018,10/18/2018,10/24/2018,175,30394,1266,368,24,Ebony Sweet Peas,6
51262,Lagozon Edutech Pvt Ltd,100889,10016,10019913,311189,09/14/2018,09/16/2018,09/19/2018,181,17412,2176,629,8,Blue Label Canned Beets,9
61656,Lagozon Edutech Pvt Ltd,100891,10984,10019400,302806,06/10/18,06/12/18,06/15/2018,119,1233866,25706,12036,48,Even Better Jack Cheese,9
71927,Lagozon Edutech Pvt Ltd,100892,10984,10019400,305270,07/07/18,07/09/18,07/11/18,119,1233866,25706,12036,48,Even Better Jack Cheese,10
75955,Lagozon Edutech Pvt Ltd,100893,10984,10019400,308831,08/18/2018,08/20/2018,08/22/2018,119,1247340,25986,11755,48,Even Better Jack Cheese,2
43493,Lagozon Edutech Pvt Ltd,100894,10984,10019400,310407,09/03/18,09/05/18,09/08/18,119,1247340,25986,11755,48,Even Better Jack Cheese,8
